2008,1,3,50000.000
2008,1,4,49893.000
2008,1,7,49875.000
2008,1,8,49846.000
2008,1,9,49801.000
2008,1,10,49844.000
2008,1,11,49844.000
2008,1,14,49844.000
2008,1,15,49844.000
2008,1,16,49844.000
2008,1,17,49844.000
2008,1,18,49844.000
2008,1,22,49844.000
2008,1,23,49917.000
2008,1,24,49965.000
2008,1,25,50151.000
2008,1,28,50377.000
2008,1,29,50419.000
2008,1,30,50411.000
2008,1,31,50411.000
2008,2,1,50411.000
2008,2,4,50411.000
2008,2,5,50411.000
2008,2,6,50395.000
2008,2,7,50374.000
2008,2,8,50245.000
2008,2,11,50386.000
2008,2,12,50433.000
2008,2,13,50536.000
2008,2,14,50514.000
2008,2,15,50510.000
2008,2,19,50510.000
2008,2,20,50510.000
2008,2,21,50510.000
2008,2,22,50510.000
2008,2,25,50510.000
2008,2,26,50510.000
2008,2,27,50510.000
2008,2,28,50510.000
2008,2,29,50510.000
2008,3,3,50510.000
2008,3,4,50500.000
2008,3,5,50525.000
2008,3,6,50441.000
2008,3,7,50511.000
2008,3,10,50326.000
2008,3,11,50306.000
2008,3,12,50280.000
2008,3,13,50233.000
2008,3,14,50236.000
2008,3,17,50200.000
2008,3,18,50200.000
2008,3,19,50200.000
2008,3,20,50200.000
2008,3,24,50200.000
2008,3,25,50200.000
2008,3,26,50200.000
2008,3,27,50200.000
2008,3,28,50200.000
2008,3,31,50200.000
2008,4,1,50200.000
2008,4,2,50200.000
2008,4,3,50200.000
2008,4,4,50200.000
2008,4,7,50200.000
2008,4,8,50200.000
2008,4,9,50200.000
2008,4,10,50200.000
2008,4,11,50200.000
2008,4,14,50200.000
2008,4,15,50200.000
2008,4,16,50200.000
2008,4,17,50200.000
2008,4,18,50200.000
2008,4,21,50200.000
2008,4,22,50200.000
2008,4,23,50200.000
2008,4,24,50200.000
2008,4,25,50200.000
2008,4,28,50200.000
2008,4,29,50200.000
2008,4,30,50200.000
2008,5,1,50200.000
2008,5,2,50200.000
2008,5,5,50200.000
2008,5,6,50200.000
2008,5,7,50200.000
2008,5,8,50202.000
2008,5,9,50203.000
2008,5,12,50225.000
2008,5,13,50228.000
2008,5,14,50225.000
2008,5,15,50225.000
2008,5,16,50225.000
2008,5,19,50227.000
2008,5,20,50220.000
2008,5,21,50206.000
2008,5,22,50205.000
2008,5,23,50204.000
2008,5,27,50201.000
2008,5,28,50189.000
2008,5,29,50177.000
2008,5,30,50197.000
2008,6,2,50173.000
2008,6,3,50173.000
2008,6,4,50173.000
2008,6,5,50173.000
2008,6,6,50173.000
2008,6,9,50173.000
2008,6,10,50173.000
2008,6,11,50173.000
2008,6,12,50167.000
2008,6,13,50210.000
2008,6,16,50275.000
2008,6,17,50199.000
2008,6,18,50074.000
2008,6,19,50110.000
2008,6,20,50097.000
2008,6,23,50029.000
2008,6,24,49992.000
2008,6,25,50013.000
2008,6,26,49943.000
2008,6,27,49832.000
2008,6,30,49803.000
2008,7,1,49782.000
2008,7,2,49794.000
2008,7,3,49780.000
2008,7,7,49780.000
2008,7,8,49862.000
2008,7,9,49800.000
2008,7,10,49838.000
2008,7,11,49840.000
2008,7,14,49526.000
2008,7,15,49607.000
2008,7,16,49865.000
2008,7,17,50031.000
2008,7,18,50061.000
2008,7,21,50088.000
2008,7,22,50267.000
2008,7,23,50242.000
2008,7,24,50180.000
2008,7,25,50188.000
2008,7,28,50072.000
2008,7,29,50238.000
2008,7,30,50224.000
2008,7,31,50190.000
2008,8,1,50213.000
2008,8,4,50219.000
2008,8,5,50202.000
2008,8,6,50232.000
2008,8,7,50242.000
2008,8,8,50263.000
2008,8,11,50292.000
2008,8,12,50300.000
2008,8,13,50300.000
2008,8,14,50300.000
2008,8,15,50300.000
2008,8,18,50300.000
2008,8,19,50300.000
2008,8,20,50300.000
2008,8,21,50300.000
2008,8,22,50350.000
2008,8,25,50303.000
2008,8,26,50311.000
2008,8,27,50308.000
2008,8,28,50338.000
2008,8,29,50338.000
2008,9,2,50335.000
2008,9,3,50320.000
2008,9,4,50282.000
2008,9,5,50320.000
2008,9,8,50323.000
2008,9,9,50323.000
2008,9,10,50323.000
2008,9,11,50323.000
2008,9,12,50323.000
2008,9,15,50323.000
2008,9,16,48609.000
2008,9,17,45682.000
2008,9,18,46804.000
2008,9,19,48835.000
2008,9,22,50228.000
2008,9,23,50255.000
2008,9,24,50242.000
2008,9,25,50272.000
2008,9,26,50271.000
2008,9,29,50188.000
2008,9,30,50542.000
2008,10,1,50419.000
2008,10,2,50413.000
2008,10,3,50443.000
